month,year,ranking,player_id,points
December,2017,7,4,3775
January,2013,152,5,375
February,2013,164,5,336
March,2013,125,5,432
April,2013,121,5,440
May,2013,118,5,460
June,2013,102,5,540
July,2013,84,5,628
August,2013,90,5,595
September,2013,88,5,608
October,2013,78,5,655
November,2013,91,5,585
December,2013,102,5,545
January,2014,100,5,545
February,2014,88,5,617
March,2014,102,5,562
April,2014,94,5,593
May,2014,77,5,656
June,2014,75,5,698
July,2014,76,5,663
August,2014,60,5,807
September,2014,66,5,756
October,2014,60,5,801
November,2014,42,5,934
December,2014,42,5,934
January,2015,42,5,934
February,2015,51,5,876
March,2015,57,5,851
April,2015,46,5,945
May,2015,37,5,1102
June,2015,31,5,1215
July,2015,39,5,1090
August,2015,37,5,1070
September,2015,29,5,1285
October,2015,30,5,1210
November,2015,25,5,1470
December,2015,26,5,1465
January,2016,26,5,1465
February,2016,23,5,1570
March,2016,24,5,1570
April,2016,25,5,1525
May,2016,26,5,1425
June,2016,27,5,1415
July,2016,26,5,1495
August,2016,25,5,1495
September,2016,24,5,1585
October,2016,25,5,1585
November,2016,23,5,1710
December,2016,23,5,1710
January,2017,23,5,1710
February,2017,19,5,1855
March,2017,18,5,2060
April,2017,15,5,2510
May,2017,15,5,2450
June,2017,18,5,2335
July,2017,18,5,2335
August,2017,17,5,2335
September,2017,21,5,2175
October,2017,21,5,2175
November,2017,9,5,2765
December,2017,8,5,3165
January,2013,431,6,85
February,2013,405,6,93
March,2013,410,6,93
April,2013,401,6,95
May,2013,336,6,126
June,2013,261,6,174
July,2013,247,6,188
August,2013,218,6,216
September,2013,202,6,229
October,2013,218,6,220
November,2013,187,6,273
December,2013,203,6,246
January,2014,193,6,262
February,2014,196,6,254
March,2014,173,6,290
April,2014,180,6,286
May,2014,189,6,271
June,2014,200,6,249
July,2014,190,6,266
August,2014,206,6,240
September,2014,225,6,217
October,2014,164,6,324
November,2014,134,6,397
December,2014,133,6,408
January,2015,133,6,391
February,2015,115,6,486
March,2015,112,6,492
April,2015,113,6,492
May,2015,92,6,563
June,2015,94,6,562
July,2015,94,6,543
August,2015,64,6,753
September,2015,69,6,718
October,2015,69,6,715
November,2015,84,6,645
December,2015,78,6,672
